Lathe Tool Table,2025-02-05 19:28:49.509714 - v1,This must be the first line - do not edit
Tool number,Description,X offset,Y offset,Z offset,Nose Tip Radius,Front angle,Back angle,Orientation
24,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
25,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
26,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
27,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
28,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
29,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
30,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
31,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
32,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
33,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
34,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
35,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
36,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
37,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
38,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
39,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
40,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
41,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
42,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
43,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
44,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
45,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
46,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
47,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
48,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
49,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
50,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
51,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
52,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
53,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
54,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
55,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
56,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
57,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
58,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
59,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
60,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
61,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
62,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
63,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
64,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
65,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
66,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
67,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
68,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
69,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
70,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
71,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
72,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
73,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
74,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
75,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
76,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
77,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
78,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
79,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
80,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
81,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
82,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
83,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
84,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
85,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
86,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
87,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
88,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
89,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
90,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
91,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
92,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
93,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
94,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
95,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
96,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
97,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
98,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
99,,0.0000000,0.0000000,0.0000000,0.0157500,0.0000000,0.0000000,9
10001,,0.7683790,0.0000000,0.0000000,0.0000000,5.0000000,0.0000000,0
10002,,0.1219510,0.0000000,0.2314950,0.0000000,3.0000000,0.0000000,0
10003,,0.2183510,0.0000000,0.2378080,0.0000000,3.0000000,0.0000000,0
10004,,0.4228660,0.0000000,0.2386490,0.0000000,10.0000000,0.0000000,0
10005,,0.2404260,0.0000000,0.2303220,0.0000000,4.0000000,0.0000000,0
10006,,-0.4151990,0.0000000,3.6652570,0.0000000,7.0000000,0.0000000,0
10007,,-0.5173790,0.0000000,1.7970110,0.0000000,6.0000000,0.0000000,0
10008,,-0.1389000,0.0000000,2.1465550,0.0000000,8.0000000,0.0000000,0
10009,,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0
